iso2,iso3,country,year,imf_url,press_release_url,status,title,pdf_path,text_path,first_snippet,notes,eba_text_path,eba_snippet,eba_status,summary_path,summary_snippet,summary_status
AZ,AZE,Azerbaijan,2023,https://www.imf.org/en/publications/cr/issues/2024/02/07/republic-of-azerbaijan-2023-article-iv-consultation-press-release-and-staff-report-544481,,pending,,,,,,,,,data\text\AZ\2023_summary.txt,"The 2023 Article IV Consultation with the Republic of Azerbaijan discusses that growth is moderating following a strong post-pandemic rebound, and inflation is easing. The near-term challenge is to resume fiscal consolidation following a temporary easing and to ensure that inflation—, which has recently returned to the target band—does not reignite amid external risks and domestic pressures. In the medium to long term, Azerbaijan’s biggest challenge is to reduce dependence on the hydrocarbon sector and advance private sector-led economic diversification. The paper recommends pursuing fiscal adjustment. Following the fiscal easing in 2023, fiscal consolidation should resume. The report also highlights that it is important to strengthen financial supervision. Financial soundness indicators point to a sound banking sector, but vigilance is needed. Diversification will entail reforms to strengthen governance, limit the role of the state-owned enterprises (SOEs), and de-carbonize the economy. Progress on increasing fiscal transparency and judicial independence, as well as ongoing efforts to increase private sector participation in SOEs and improve their financial position, will help improve the business environment, increase private investment, and enhance productivity.",summary_extracted
PH,PHL,Philippines,2024,https://www.imf.org/en/publications/cr/issues/2024/12/19/philippines-2024-article-iv-consultation-press-release-and-staff-report-559739,,pending,,,,,,,,,data\text\PH\2024_summary.txt,"The 2024 Article IV Consultation highlights that growth is expected to accelerate in 2024-25, supported by disinflation, and gradually declining borrowing costs as monetary policy normalizes in Philippines. Growth is expected to pick up modestly in 2024-25 while inflation should remain within the Bangko Sentral ng Pilipinas’ target range. Systemic risks within the financial system are moderate, but pockets of vulnerabilities remain. The banking system has sufficient liquidity and capital buffers, and nonperforming loans are low. The more gradual pace of consolidation in the revised fiscal program is appropriate and should be supported by a concrete and sustainable plan to raise tax revenues and implement expenditure reforms. The Philippine economy holds significant potential with its abundant natural resources, untapped blue economy, and a sizable demographic dividend. Unlocking the medium-term growth potential will crucially depend on comprehensive and well-sequenced structural reforms. These reforms, coupled with strengthened social protection programs, should aim to boost job creation, enhance productivity, increase resilience to climate change, and reduce poverty and inequality.",summary_extracted
RO,ROU,Romania,2023,https://www.imf.org/en/publications/cr/issues/2023/12/07/romania-2023-article-iv-consultation-press-release-and-staff-report-imf-country-report-no-542184,,pending,,,,,,,,,data\text\RO\2023_summary.txt,"This 2023 Article IV Consultation discusses that Romania has weathered the economic shocks from the pandemic, Russia’s war in Ukraine, and the resulting surges in energy and food prices relatively well. Growth is expected to recover modestly in 2024, and to return to its potential rate in the medium term, but there are substantial risks. A weak fiscal position renders Romania vulnerable. The scope to respond to adverse developments is circumscribed by a structural budget deficit well in excess of sustainable levels. The recently adopted fiscal package offers welcome improvements in tax policy and should help reduce the fiscal deficit somewhat in 2024; but more will be needed. Announcing further tax reforms well in advance will help companies and households adjust to these changes. In addition, monetary policy should not be relaxed until core inflation is on a firm downward path as needed for returning headline inflation within the tolerance band by early 2025. There is significant room to underpin real income growth and further convergence with Western Europe. This requires investment in physical infrastructure as well as people, and strengthening the efficiency of the state.",summary_extracted
OM,OMN,Oman,2024,https://www.imf.org/en/publications/cr/issues/2025/01/22/oman-2024-article-iv-consultation-press-release-and-staff-report-561155,,pending,,,,,,,,,data\text\OM\2024_summary.txt,"This 2024 Article IV Consultation highlights that supported by favorable hydrocarbon revenues and steadfast reform efforts, Oman’s economy continues to expand amidst low inflation. Fiscal and external surpluses continued in 2024 and are expected over the medium term. The banking sector remains sound. Profitability has recovered to pre-pandemic levels, capital and liquidity buffers are ample, while asset quality remains strong. Banks’ net foreign assets turned positive by end of 2023 for the first time since 2014. The authorities continue pursuing prudent fiscal management, amidst the successful rollout of the social protection law. The 2025 budget is set to preserve fiscal discipline, further lowering the nonhydrocarbon primary deficit, while maintaining spending on social safety nets broadly unchanged relative to 2024. The banking sector is sound, amidst continued efforts to strengthen regulatory and supervisory frameworks. Sustained implementation of reforms under Oman Vision 2040 will be key to achieving sustainable, job rich, and private sector-led nonhydrocarbon growth. The new social protection law has been successfully rolled out. Labor market reforms are ongoing, supported by the new labor law.",summary_extracted
AG,ATG,Antigua and Barbuda,2023,https://www.imf.org/en/publications/cr/issues/2024/01/23/antigua-and-barbuda-2023-article-iv-consultation-press-release-and-staff-report-544023,,pending,,,,,,,,,data\text\AG\2023_summary.txt,"The 2023 Article IV Consultation discusses that Antigua and Barbuda’s economy continues to bounce back from the sharp contraction experienced during the coronavirus disease 2019 pandemic. Real activity is expected to return to prepandemic levels this year, with growth projected at 5.7 percent, driven by a rebound in tourism and construction activity. The strong recovery from the pandemic provides a window of opportunity to decisively address Antigua and Barbuda’s fiscal and external imbalances, build buffers, and invest in resilience. Higher revenues and expenditure restraint should reduce the public debt and fiscal financing needs further. The social safety net should provide more targeted support to the vulnerable. Stronger fiscal institutions are needed to enhance the credibility of fiscal plans. There is scope to improve the oversight and regulation of credit unions.",summary_extracted
UZ,UZB,Uzbekistan,2024,https://www.imf.org/en/publications/cr/issues/2024/07/11/republic-of-uzbekistan-2024-article-iv-consultation-press-release-and-staff-report-551710,,pending,,,,,,,,,data\text\UZ\2024_summary.txt,"The 2024 Article IV Consultation discusses that Uzbekistan’s growth momentum continues on the back of far-reaching structural reforms to liberalize its economy, favorable commodity prices, and notable increases in financial and income flows. Growth is expected to remain robust at 5.4 percent in 2024, despite the appropriate withdrawal of fiscal stimulus and slowing trading partner growth. In 2025, growth is projected to pick up to around 5½ percent. Needed increases in administered energy prices would temporarily raise inflation to 11.5 percent by end-2024. The government’s planned fiscal consolidation is appropriate and will help reduce inflation and imports while protecting the vulnerable. Further efforts are needed to broaden the tax base, modernize the tax system, improve the efficiency of public spending, and strengthen public financial management. Monetary policy should remain focused on reducing inflation to the central bank’s target and be tightened if energy price reforms spill over to core inflation and inflation expectations. Structural reforms should focus on reducing the state’s role in the economy, promoting women’s participation in the labor market, advancing decarbonization and climate adaptation initiatives, and enhancing governance and transparency, building on progress already made.",summary_extracted
WS,WSM,Samoa,2024,https://www.imf.org/en/publications/cr/issues/2025/01/31/samoa-2024-article-iv-consultation-press-release-and-staff-report-561434,,pending,,,,,,,,,data\text\WS\2024_summary.txt,"The 2024 Article IV Consultation discusses that Samoa’s economic recovery has been remarkable. An expansionary fiscal stance will support the economy, while fiscal reforms can improve the effectiveness of policy and mitigate risks. The focus in the near term should be overcoming capacity constraints to execute much needed public investment, including climate-related projects. Monetary policy normalization should continue, with an aim to guide interest rates higher. Financial sector risks have declined relative to the pandemic but require continued monitoring. Priorities for the banking system include operationalizing the emergency liquidity assistance framework and enhancing prudential standards. The exchange rate peg remains the appropriate nominal anchor. Overcoming significant structural challenges which impede the medium-term growth potential will require concerted reform efforts. Key priorities include attracting foreign investment, reducing trade facilitation costs, and mitigating the impact of the pickup in the seasonal workers program, including by enhancing human capital and raising labor force participation rates.",summary_extracted
NL,NLD,Netherlands,2024,https://www.imf.org/en/publications/cr/issues/2024/04/05/kingdom-of-the-netherlandsthe-netherlands-2024-article-iv-consultation-press-release-and-547340,,pending,,,,,,,,,data\text\NL\2024_summary.txt,"The 2024 Article IV Consultation discusses that the economy has cooled, but signs of overheating remain in The Netherlands. After two years of strong recovery, growth decelerated in 2023, reflecting the energy shock, tighter financial conditions, and a slowdown in key trading partners, particularly Germany. Core inflation remains elevated, reflecting a tight labor market, robust wage growth, and healthy profit margins. Growth is expected to gradually regain momentum in 2024, driven by higher private consumption and external demand. High interest rates will weigh on business and residential investment. For 2024, given the high cost of underestimating inflation persistence, a non-expansionary stance is warranted; adjustment measures should be identified. Medium-term fiscal challenges call for structural reforms to stabilize debt. Climate mitigation strategies need to tackle implicit fuel subsidies, striking the right balance among regulation, pricing/feebates, and subsidies, while addressing distributional concerns and ensuring policy predictability.",summary_extracted
TH,THA,Thailand,2024,https://www.imf.org/en/publications/cr/issues/2025/02/20/thailand-2024-article-iv-consultation-press-release-staff-report-and-statement-by-the-562284,,pending,,,,,,,,,data\text\TH\2024_summary.txt,"The 2024 Article IV Consultation discusses that Thailand’s economy is gradually recovering, but at a slower pace than peers. Growth is projected to accelerate moderately, reaching 2.7 percent in 2024 and 2.9 percent in 2025, supported by the rebound of tourism-related activities and fiscal stimulus. A well-coordinated near-term policy mix and structural reforms would help firmly entrench the recovery and boost potential growth and inclusiveness over the longer term. A further reduction in the policy rate would support the ongoing recovery, while translating into improvements in borrowers’ debt-servicing capacity with little risk of additional leverage amid tightened lending. Resolute reforms to boost productivity and competitiveness are necessary to reverse the downward trend in potential growth. Providing an adequate social protection floor to vulnerable households could help enhance their resilience to shocks and address structural drivers of household debt accumulation.",summary_extracted
SM,SMR,San Marino,2024,https://www.imf.org/en/publications/cr/issues/2024/12/09/republic-of-san-marino-2024-article-iv-consultation-press-release-and-staff-report-559288,,pending,,,,,,,,,data\text\SM\2024_summary.txt,"The 2024 Article IV Consultation discusses that San Marino’s economy has remained resilient, with economic activity stabilizing at high levels and record employment, despite the regional slowdown and high interest rates. Growth has slowed due to weakening external demand but remains positive as the decline in manufacturing activity has been offset by strong performance in the service sector. With easing financing conditions and the stabilization of external demand, growth is expected to pick up gradually. Inflation has declined to below two percent and it is expected to remain at low levels. The fiscal position is stronger than expected. The government has saved the cyclical tax revenues, kept expenditures in check, and achieved strong primary balance in 2023. Structural reforms are critical to lift potential growth. The conclusion of the EU association negotiations, which signals strong commitment to deeper integration with the EU, is welcome. The successful implementation of the agreement is a priority to enhance productivity and the authorities should ensure sufficient resources and staff are available to support implementation without undermining the fiscal consolidation path.",summary_extracted
GE,GEO,Georgia,2025,https://www.imf.org/en/publications/cr/issues/2025/07/25/georgia-2025-article-iv-consultation-press-release-and-staff-report-569007,,pending,,,,,,,,,data\text\GE\2025_summary.txt,"The 2025 Article IV Consultation for Georgia highlights the country's resilience in the face of domestic and geopolitical uncertainties, noting strong economic growth, near-target inflation, and moderate debt levels. Growth is projected to moderate to 7.2 percent in 2025 and stabilize at a potential rate of 5 percent in the medium term as domestic demand slows. Inflation is expected to remain close to the target, and public debt is anticipated to stabilize at current levels, provided that prudent monetary and fiscal policies continue. The consultation recommends a broadly neutral but flexible monetary policy to anchor inflation expectations. Fiscal policy should focus on maintaining buffers under the fiscal rule while creating space for productive investments in infrastructure and education. In order to sustain robust and inclusive growth, structural reforms are essential. These should aim to enhance agricultural productivity, improve education and training to address high structural unemployment, informality, and outward migration. Additionally, policies should encourage return migration and attract foreign talent to bolster the local labor market. Infrastructure investments are crucial for economic diversification and regional connectivity, while judicial and anticorruption reforms are necessary to boost competitiveness and the business environment.",summary_extracted
ME,MNE,Montenegro,2025,https://www.imf.org/en/publications/cr/issues/2025/11/19/montenegro-2025-article-iv-consultation-press-release-and-staff-report-571935,,pending,,,,,,,,,data\text\ME\2025_summary.txt,"Following a robust post-pandemic recovery (9 percent average growth from 2021–23), growth decelerated to 3.2 percent in 2024 and the first half of 2025, driven partially by softening tourism. Inflation has risen from 1 percent in September 2024 to 4.9 percent as of September 2025, reflecting a combination of external, domestic demand, and wage pressures. The 2025 Article IV consultation aims to address emerging macro imbalances and help position the economy for accession to the European Union (EU), which the authorities are targeting by 2028.",summary_extracted
LY,LBY,Libya,2025,https://www.imf.org/en/publications/cr/issues/2025/06/25/libya-2025-article-iv-consultation-press-release-and-staff-report-568035,,pending,,,,,,,,,data\text\LY\2025_summary.txt,"The 2025 Article IV Consultation discusses that the continued political division and widespread fragilities have hindered the authorities’ capacity to control public expenditure and enact necessary reforms. Real gross domestic product growth is estimated to have declined to around 2 percent in 2024 from 10 percent in 2023, driven by a contraction in the hydrocarbon sector. The outlook is dominated by developments in the oil sector, and the country remains exposed to global downside risks. The current account is slated to post a small surplus in 2025 before turning into a small deficit over the medium term, as oil prices remain subdued. The fiscal balance is projected to remain in deficit under the weight of continued large government spending. Controlling expenditure will be key to ensure sustainability and to achieving intergenerational equity. Structural and governance reforms would foster the emergence of a diversified, sustainable, and private sector-led economy. Forging a comprehensive reform program aimed at reducing dependence on oil revenues should be at the top of the authorities’ agenda.",summary_extracted
NO,NOR,Norway,2025,https://www.imf.org/en/publications/cr/issues/2025/08/27/norway-2025-article-iv-consultation-press-release-and-staff-report-570009,,pending,,,,,,,,,data\text\NO\2025_summary.txt,"Norway’s economy has shown resilience amid global uncertainty, supported by strong fiscal buffers, a credible policy framework, and a robust net external asset position. These fundamental strengths should help Norway steer through the challenging external backdrop of increasing geopolitical tensions and trade policy frictions. Ahead of the September national elections, the fiscal stance remains expansionary, driven by increased defense spending. Monetary policy remains restrictive to address above-target inflation. While structural reforms have gained new momentum, with a reinforced focus on labor participation and public sector efficiency.",summary_extracted
PE,PER,Peru,2025,https://www.imf.org/en/publications/cr/issues/2025/06/10/peru-2025-article-iv-consultation-press-release-and-staff-report-567572,,pending,,,,,,,,,data\text\PE\2025_summary.txt,"The 2025 Article IV Consultation with Peru discusses that after a strong recovery in 2024, growth is expected to moderate in 2025, amid global and election-related uncertainty, and thereafter to remain close to potential. Inflation is expected to remain close to the midpoint of the target band. The financial system is sound. Risks are tilted to the downside given elevated external uncertainty, but Peru has ample buffers to cope with shocks. Meeting the 2025 fiscal deficit target would require additional efforts in a pre-election year. In the medium term, further fiscal consolidation measures should be identified to comply with the fiscal rule deficit targets and debt ceiling. Introducing both spending and revenue measures would make the consolidation more balanced and credible. Structural reforms are urgently required to lift potential growth, including updating the fiscal decentralization framework to help boost investments in the critical mineral sector. Enhanced efforts are needed to curb the low but rising level of insecurity, reform labor and tax regulations that impose excessive costs for formalizing or growing a business, enhance the independence and integrity of judicial bodies and tools to combat corruption impunity, build resilience to natural disasters, and embrace the opportunities of digital technologies and artificial intelligence.",summary_extracted
IE,IRL,Ireland,2023,https://www.imf.org/en/publications/cr/issues/2023/12/14/ireland-2023-article-iv-consultation-press-release-and-staff-report-542470,,pending,,,,,,,,,data\text\IE\2023_summary.txt,"This 2023 Article IV Consultation highlights that Ireland’s economy has shown remarkable resilience in the face of consecutive shocks. The Irish economy has displayed remarkable resilience in the face of recent consecutive shocks and is well-positioned to achieve a soft landing. Growth is expected to moderate to a still solid level in 2023-24, from a very high base, as tighter financial conditions, domestic capacity constraints, and weakening external demand weigh on the economy. Continued fiscal prudence is warranted to complement monetary tightening in sustaining disinflation and to build adequate buffers for the future. As fiscal policy should avoid adding to aggregate demand amid still elevated inflation, tax revenue over performance should be saved. The 2023 fiscal stance is appropriate. Fiscal policy should support growth-enhancing investment and broaden the tax base. The authorities’ decision to save part of excess corporate income tax revenues in two savings funds is welcome. Tighter financial conditions, persistent inflation, and rising vulnerabilities in the commercial real estate market with linkages to leveraged non-banks call for continued heightened vigilance of financial stability risks.",summary_extracted
TR,TUR,Türkiye,2024,https://www.imf.org/en/publications/cr/issues/2024/10/11/republic-of-trkiye-2024-article-iv-consultation-press-release-staff-report-and-statement-by-556139,,pending,,,,,,,,,data\text\TR\2024_summary.txt,"The 2024 Article IV Consultation highlights that a decisive shift in economic policies over the past year has tightened Türkiye’s overall policy stance. A significant tightening of macroeconomic policy since mid-2023 has substantially reduced crisis risks. Tighter financial conditions are weighing on domestic demand and inflation has fallen. Tax and expenditure measures partly dampened an expansionary fiscal impulse and the commitment to stronger incomes policies has strengthened credibility. The policy turnaround has reduced economic imbalances and revived confidence. Headline inflation has fallen as tighter financial conditions are weighing on domestic demand. Under the authorities’ gradual policy adjustment, inflation is expected to further decline. Risks around the baseline are significant and tilted to the downside. They include stronger-than-expected wage and price inertia, a reversal of capital flows, higher global energy prices, and escalating geopolitical tensions. Significant financial and external vulnerabilities remain. The authorities’ gradual approach to fighting inflation prolongs the period during which risks might occur.",summary_extracted
EE,EST,Estonia,2025,https://www.imf.org/en/publications/cr/issues/2025/07/11/republic-of-estonia-2025-article-iv-consultation-press-release-and-staff-report-568542,,pending,,,,,,,,,data\text\EE\2025_summary.txt,"The Estonian economy is slowly re-emerging from a prolonged downturn but faces structural challenges. Wages growing faster than productivity and permanent increases in input costs, a legacy of previous shocks, are hindering price-sensitive activities, while production with higher technological content is constrained by lack of skilled labor and limited access to capital markets. Geopolitical developments, rising defense spending needs, and preexisting fiscal imbalances pose significant hurdles.",summary_extracted
BZ,BLZ,Belize,2024,https://www.imf.org/en/publications/cr/issues/2024/05/15/belize-2024-article-iv-consultation-press-release-and-staff-report-549008,https://www.imf.org/en/News/Articles/2024/05/15/pr24163-imf-concludes-2024-article-iv-consultation-with-belize,pending,,,,,,,,,data\text\BZ\2024_summary.txt,"The 2024 Article IV Consultation with Belize highlights that real gross domestic product growth and inflation moderated in 2023. Belize’s key policy priorities include raising the primary balance with revenue mobilization and expenditure rationalization to lower public debt to a level that provides sufficient buffers, increasing expenditure in priority areas, adopting growth enhancing structural reforms, and building resilience to climate change and related disasters. These policies would boost growth and make it more inclusive. Boosting medium-term growth requires increasing female labor force participation, enhancing access to affordable credit for small and medium size enterprises, reducing crime, improving the business climate, and adopting a disaster resilience strategy that strengthens structural, financial, and post-disaster resilience and is based on a multi-year macro-fiscal framework. Keeping vulnerable financial institutions under enhanced supervision and requesting recapitalization when needed is important to maintain financial stability. Strengthening the currency peg requires increasing international reserves by reducing public debt, implementing structural reforms and limiting government financing by the Central Bank.",summary_extracted
VU,VUT,Vanuatu,2024,https://www.imf.org/en/publications/cr/issues/2024/09/03/vanuatu-2024-article-iv-consultation-press-release-and-staff-report-554259,https://www.imf.org/en/News/Articles/2024/09/03/pr24315-vanuatu-imf-exec-board-concludes-2024-art-iv-consult,pending,,,,,,,,,data\text\VU\2024_summary.txt,"The 2024 Article IV Consultation highlights that as Vanuatu was recovering from the multiple natural disasters of 2023, the voluntary liquidation of Air Vanuatu in May 2024 created a major shock with significant effects on growth and business confidence. There is a strong need to address immediate risks to growth and stability, and then redouble efforts to rebuild buffers and tackle structural issues with policy reforms. Fiscal challenges abound and call for urgent and comprehensive action. In the near term, targeted and strategic support is needed to help stabilize the economy, while ensuring fiscal accounts remain under control. Monetary policy is appropriately accommodative but monetary financing needs to be reduced and eventually stopped. The currency basket needs close monitoring. Structural issues remain ever important, and action is needed such as reprioritization of investment needs and integration to the medium-term fiscal strategy, and an increase in efforts to address labor shortages and skills drain.",summary_extracted
FJ,FJI,Fiji,2025,https://www.imf.org/en/publications/cr/issues/2025/06/20/fiji-2025-article-iv-consultation-press-release-and-staff-report-567891,https://www.imf.org/en/news/articles/2025/06/20/pr-25208-fiji-imf-concludes-2025-article-iv-consultation,pending,,,,,,,,,data\text\FJ\2025_summary.txt,"The 2025 Article IV Consultation discusses that Fijian economic recovery continued in 2024. Monetary and financial conditions remain accommodative, while the fiscal stance has tightened. Growth was showing signs of slowing early in 2025. Tariffs will have additional effects, both directly on goods exports and indirectly through slowing external demand. On this basis, growth is projected at 2.6 percent in 2025, and to settle by 2027 and thereafter slightly below the pre-pandemic trend of 3.3 percent. The outlook is very uncertain. Rebuilding fiscal buffers should be a priority, with growth-friendly consolidation promoting a shift from current to capital spending. Social protection measures should be ready to shield the most vulnerable from a pronounced downturn. Monetary policy should be gradually adjusted to at least neutral levels and exchange restrictions phased out. Financial policies should be attentive to emerging credit risks and safeguard against money laundering risks. A significant increase in reform momentum is needed to boost growth over the medium term, with long term prospects dependent on addressing the impact of natural disasters and mobilizing additional climate financing.",summary_extracted
